Time_s_Ex	Time_s_Rt	Defl_nm_Ex	Defl_nm_Rt	Defl_pN_Ex	Defl_pN_Rt	Defl_nm_Ex	Defl_nm_Rt	Defl_pN_Ex	Defl_pN_Rt	
6.825597e-002	5.536325e-001	-4.957139e+000	-5.146344e+000	-2.454612e+002	-2.548299e+002	-4.957139e+000	-5.146344e+000	-2.454612e+002	-2.548299e+002	
6.920397e-002	5.545805e-001	-4.749015e+000	-5.278786e+000	-2.351556e+002	-2.613881e+002	-4.749015e+000	-5.278786e+000	-2.351556e+002	-2.613881e+002	
7.015196e-002	5.555285e-001	-4.749015e+000	-5.108503e+000	-2.351556e+002	-2.529562e+002	-4.749015e+000	-5.108503e+000	-2.351556e+002	-2.529562e+002	
7.109996e-002	5.564765e-001	-4.957139e+000	-5.146344e+000	-2.454612e+002	-2.548299e+002	-4.957139e+000	-5.146344e+000	-2.454612e+002	-2.548299e+002	
7.204796e-002	5.574245e-001	-5.184184e+000	-5.013901e+000	-2.567037e+002	-2.482718e+002	-5.184184e+000	-5.013901e+000	-2.567037e+002	-2.482718e+002	
7.299595e-002	5.583726e-001	-4.957139e+000	-4.919299e+000	-2.454612e+002	-2.435874e+002	-4.957139e+000	-4.919299e+000	-2.454612e+002	-2.435874e+002	
7.394395e-002	5.593206e-001	-4.994980e+000	-5.032821e+000	-2.473349e+002	-2.492087e+002	-4.994980e+000	-5.032821e+000	-2.473349e+002	-2.492087e+002	
7.489195e-002	5.602686e-001	-4.824697e+000	-5.543672e+000	-2.389031e+002	-2.745043e+002	-4.824697e+000	-5.543672e+000	-2.389031e+002	-2.745043e+002	
7.583994e-002	5.612166e-001	-4.957139e+000	-5.184184e+000	-2.454612e+002	-2.567037e+002	-4.957139e+000	-5.184184e+000	-2.454612e+002	-2.567037e+002	
7.678794e-002	5.621646e-001	-4.994980e+000	-5.070662e+000	-2.473349e+002	-2.510824e+002	-4.994980e+000	-5.070662e+000	-2.473349e+002	-2.510824e+002	
7.773594e-002	5.631126e-001	-4.843617e+000	-5.316627e+000	-2.398400e+002	-2.632618e+002	-4.843617e+000	-5.316627e+000	-2.398400e+002	-2.632618e+002	
